Freq.	V(a)-V(b)
9.54926629283105e+06	(-1.42840992837240e+01dB,-5.93726524416489e+00°)
9.57127962510529e+06	(-1.42404125620787e+01dB,-5.92951170104199e+00°)
9.59334370335130e+06	(-1.41967058682874e+01dB,-5.92179424143834e+00°)
9.61545864455065e+06	(-1.41529790987910e+01dB,-5.91411286981612e+00°)
9.63762456595453e+06	(-1.41092321493455e+01dB,-5.90646759119177e+00°)
9.65984158508447e+06	(-1.40654649150164e+01dB,-5.89885841113965e+00°)
9.68210981973289e+06	(-1.40216772901739e+01dB,-5.89128533579654e+00°)
9.70442938796374e+06	(-1.39778691684875e+01dB,-5.88374837186573e+00°)
9.72680040811316e+06	(-1.39340404429210e+01dB,-5.87624752662130e+00°)
9.74922299879008e+06	(-1.38901910057271e+01dB,-5.86878280791229e+00°)
9.77169727887682e+06	(-1.38463207484420e+01dB,-5.86135422416742e+00°)
9.79422336752980e+06	(-1.38024295618800e+01dB,-5.85396178439917e+00°)
9.81680138418008e+06	(-1.37585173361283e+01dB,-5.84660549820833e+00°)
9.83943144853407e+06	(-1.37145839605413e+01dB,-5.83928537578872e+00°)
9.86211368057411e+06	(-1.36706293237352e+01dB,-5.83200142793146e+00°)
9.88484820055915e+06	(-1.36266533135821e+01dB,-5.82475366602979e+00°)
9.90763512902533e+06	(-1.35826558172047e+01dB,-5.81754210208386e+00°)
9.93047458678670e+06	(-1.35386367209706e+01dB,-5.81036674870513e+00°)
9.95336669493577e+06	(-1.34945959104862e+01dB,-5.80322761912163e+00°)
9.97631157484424e+06	(-1.34505332705911e+01dB,-5.79612472718236e+00°)
9.99930934816356e+06	(-1.34064486853523e+01dB,-5.78905808736258e+00°)
1.00223601368256e+07	(-1.33623420380582e+01dB,-5.78202771476847e+00°)
1.00454640630435e+07	(-1.33182132112126e+01dB,-5.77503362514255e+00°)
1.00686212493118e+07	(-1.32740620865285e+01dB,-5.76807583486838e+00°)
1.00918318184076e+07	(-1.32298885449222e+01dB,-5.76115436097601e+00°)
1.01150958933912e+07	(-1.31856924665072e+01dB,-5.75426922114714e+00°)
1.01384135976062e+07	(-1.31414737305876e+01dB,-5.74742043372025e+00°)
1.01617850546809e+07	(-1.30972322156521e+01dB,-5.74060801769610e+00°)
1.01852103885284e+07	(-1.30529677993679e+01dB,-5.73383199274324e+00°)
1.02086897233475e+07	(-1.30086803585735e+01dB,-5.72709237920335e+00°)
1.02322231836232e+07	(-1.29643697692730e+01dB,-5.72038919809668e+00°)
1.02558108941277e+07	(-1.29200359066290e+01dB,-5.71372247112806e+00°)
1.02794529799205e+07	(-1.28756786449566e+01dB,-5.70709222069214e+00°)
1.03031495663498e+07	(-1.28312978577159e+01dB,-5.70049846987957e+00°)
1.03269007790525e+07	(-1.27868934175061e+01dB,-5.69394124248239e+00°)
1.03507067439550e+07	(-1.27424651960580e+01dB,-5.68742056300047e+00°)
1.03745675872744e+07	(-1.26980130642274e+01dB,-5.68093645664690e+00°)
1.03984834355183e+07	(-1.26535368919885e+01dB,-5.67448894935460e+00°)
1.04224544154863e+07	(-1.26090365484261e+01dB,-5.66807806778201e+00°)
1.04464806542700e+07	(-1.25645119017293e+01dB,-5.66170383931959e+00°)
1.04705622792543e+07	(-1.25199628191835e+01dB,-5.65536629209587e+00°)
1.04946994181174e+07	(-1.24753891671642e+01dB,-5.64906545498414e+00°)
1.05188921988322e+07	(-1.24307908111287e+01dB,-5.64280135760856e+00°)
1.05431407496663e+07	(-1.23861676156093e+01dB,-5.63657403035077e+00°)
1.05674451991831e+07	(-1.23415194442055e+01dB,-5.63038350435663e+00°)
1.05918056762423e+07	(-1.22968461595769e+01dB,-5.62422981154283e+00°)
1.06162223100009e+07	(-1.22521476234351e+01dB,-5.61811298460365e+00°)
1.06406952299134e+07	(-1.22074236965362e+01dB,-5.61203305701780e+00°)
1.06652245657327e+07	(-1.21626742386730e+01dB,-5.60599006305539e+00°)
1.06898104475110e+07	(-1.21178991086674e+01dB,-5.59998403778504e+00°)
1.07144530056001e+07	(-1.20730981643620e+01dB,-5.59401501708098e+00°)
1.07391523706525e+07	(-1.20282712626124e+01dB,-5.58808303763010e+00°)
1.07639086736217e+07	(-1.19834182592790e+01dB,-5.58218813693952e+00°)
1.07887220457631e+07	(-1.19385390092187e+01dB,-5.57633035334381e+00°)
1.08135926186349e+07	(-1.18936333662770e+01dB,-5.57050972601254e+00°)
1.08385205240983e+07	(-1.18487011832792e+01dB,-5.56472629495797e+00°)
1.08635058943185e+07	(-1.18037423120220e+01dB,-5.55898010104255e+00°)
1.08885488617656e+07	(-1.17587566032654e+01dB,-5.55327118598696e+00°)
1.09136495592148e+07	(-1.17137439067236e+01dB,-5.54759959237778e+00°)
1.09388081197476e+07	(-1.16687040710564e+01dB,-5.54196536367561e+00°)
1.09640246767520e+07	(-1.16236369438605e+01dB,-5.53636854422309e+00°)
1.09892993639239e+07	(-1.15785423716606e+01dB,-5.53080917925331e+00°)
1.10146323152671e+07	(-1.15334201999000e+01dB,-5.52528731489785e+00°)
1.10400236650943e+07	(-1.14882702729323e+01dB,-5.51980299819528e+00°)
1.10654735480280e+07	(-1.14430924340114e+01dB,-5.51435627709998e+00°)
1.10909820990009e+07	(-1.13978865252826e+01dB,-5.50894720049031e+00°)
